00:25:4B:9B:B0:1C	45926EZ59GU	Laptop	sflorey	
00:26:08:EF:A4:FB	45926GNF9GU	Laptop	skelly	
00:50:60:81:BD:C8	26A85002	Video Equipment	tandberg video equipment	
00:25:4B:9A:87:61	45926EKW9GU	Laptop	tkuzzell	K-Team
84:78:AC:A8:21:2F	Unknown	Managed Switch	ciscopoe.switch	
00:25:D3:D2:7A:CB	9BOAAS104761	Netbook	title1-1.netbook	
00:25:D3:D6:75:D1	9BOAAS104732	Netbook	title1-2.netbook	
00:25:D3:79:6F:2C	99OAAS166206	Netbook	title1-3.netbook	
00:14:D1:73:C6:4E	S3899101416	Printer	Savin CLP31DN	
00:00:74:F2:E6:E8	S3899101416	Printer	Savin CLP31DN	
00:80:91:4E:79:43	CIA724869	Printer	Toshiba E-452	
00:80:91:52:09:C8	CIE843821	Printer	Toshiba E-453	
00:00:AA:A6:C2:59	HAT048125	Printer	Xerox 6130	
00:02:D1:20:21:AC	imported	Security Camera	external.camera	
00:02:D1:21:7E:38	imported	Security Camera	mainentry.camera	
00:0F:7C:04:80:F5	Unknown	Security Camera	Mainhall.camera	
00:0F:7C:04:2E:19	imported	Security Camera	playgroundentry.camera	
00:1C:C0:C1:43:26	Unknown	Server	camera.server	
00:30:65:7E:73:60	unknown	Server	server	
18:64:72:CE:A5:3C	BT092386	WAP	Aruba Master	
18:64:72:CE:A2:80	BT0961686	WAP	Aruba WAP	
18:64:72:CE:9C:82	BT0960152	WAP	Aruba WAP	
18:64:72:CE:A2:40	BT096122	WAP	Aruba WAP 5th Grade	
18:64:72:CE:A1:C1	BT0961495	WAP	Aruba WAP Kelly	
18:64:72:CE:A1:39	BT0961359	WAP	Aruba WAP Kindergarden	
		Laptop	cstaples	
