1,"0","1"
2,"1","1"
3,"1","2"
4,"1","3"
5,"1","4"
6,"1","6"
7,"2","2"
8,"2","3"
9,"2","4"
10,"2","6"
11,"3","3"
12,"3","4"
13,"3","6"
14,"4","4"
15,"4","5"
16,"5","3"
17,"5","4"
18,"5","5"
19,"5","6"
20,"6","6"
21,"6","4"
22,"6","5"
23,"6","3"
24,"1","7"
25,"1","8"
26,"2","7"
27,"2","8"
28,"7","3"
29,"7","4"
30,"7","8"
31,"7","6"
32,"3","7"
33,"3","8"
34,"5","7"
35,"5","8"
36,"7","7"
37,"8","8"
38,"8","3"
39,"8","4"
40,"8","6"
41,"8","7"
42,"1","9"
43,"2","9"
44,"3","9"
45,"5","9"
46,"7","9"
47,"8","9"
48,"9","3"
49,"9","4"
50,"9","7"
51,"9","8"
52,"9","9"
