"","",,"",Apple,iPad,"",DN6FWSP3DKPH,Weymouth,iPad,lmiller,lmiller's iPad/Weymouth
"","",,"",Acer,"",,ETL49083708170612B42CI,Weymouth,Monitor,kdodd,
